"Gemeenten";"Bevolking totaal";"Bevolking totaal vrouwen";"Bevolkingsdichtheid";"Bevolking totaal mannen";"Gemiddelde leeftijd bevolking";"Gemiddelde leeftijd mannen";"Gemiddelde leeftijd vrouwen";"Bevolking leeftijd -4 jaar";"Totaalscore Leefbaarometer 2.0 (label)"
"Leudal";35878;17666;218;18212;45,2;44,2;46,2;1360;7
"Leusden";29677;15083;504;14594;43,0;41,7;44,2;1486;8
"Lingewaal";11158;5587;205;5571;42,0;41,6;42,4;558;7
"Lingewaard";46182;23284;668;22898;42,8;42,0;43,6;2119;7
"Lisse";22717;11539;1415;11178;43,3;42,2;44,4;1088;7
"Littenseradiel";10746;5251;81;5495;41,9;41,2;42,6;550;7
"Lochem";33545;16976;155;16569;46,7;45,5;47,8;1327;8
"Loon op Zand";23093;11632;455;11461;43,8;43,0;44,6;1077;7
"Lopik";14208;7014;180;7194;40,3;39,8;40,9;693;6
"Loppersum";9914;4893;89;5021;43,9;43,3;44,5;449;7
"Losser";22482;11170;226;11312;44,1;43,5;44,7;941;8
"Maasdriel";24250;11950;321;12300;42,1;41,3;43,0;1200;7
"Maasgouw";23774;11829;409;11945;46,8;45,7;47,9;851;8
"Maassluis";32450;16533;3207;15917;43,3;42,5;44,0;1650;6
"Maastricht";122753;63798;2041;58955;42,5;42,0;43,0;4323;6
"Marum";10388;5024;160;5364;42,1;41,2;43,2;500;7
"Medemblik";44058;21631;171;22427;42,3;41,8;42,7;2173;7
"Meerssen";19072;9674;689;9398;46,6;45,7;47,6;705;7
"Meierijstad";79869;39817;431;40052;42,5;41,9;43,1;3933;7
"Menameradiel";13454;6555;192;6899;42,8;41,8;43,9;626;7
"Menterwolde";12162;5981;149;6181;43,7;43,2;44,1;507;7
"Meppel";33025;16888;579;16137;41,9;41,2;42,6;1605;7
"Middelburg";48019;24688;905;23331;42,9;41,7;44,1;2383;7
"Midden-Delfland";19034;9461;385;9573;41,4;40,8;42,0;1015;9
"Midden-Drenthe";33399;16717;97;16682;44,3;43,4;45,2;1439;8
"Mill en Sint Hubert";10807;5287;203;5520;44,0;43,3;44,7;384;6
"Moerdijk";36944;18453;201;18491;43,4;42,5;44,2;1694;6
"Molenwaard";29212;14374;231;14838;39,0;38,1;40,0;1791;7
"Montferland";35316;17631;331;17685;44,7;43,7;45,6;1395;7
"Montfoort";13866;6923;363;6943;40,6;40,1;41,1;774;7
"Mook en Middelaar";7775;3926;413;3849;46,6;45,3;47,9;249;8
"Neder-Betuwe";23303;11637;345;11666;38,7;37,8;39,6;1555;6
"Nederweert";16864;8345;166;8519;44,4;43,7;45,2;724;8
"Neerijnen";12344;6111;169;6233;40,4;39,6;41,1;742;6
"Nieuwegein";61868;31105;2412;30763;42,1;41,2;43,0;3253;6
"Nieuwkoop";27914;13754;306;14160;42,6;41,9;43,2;1343;6
"Nijkerk";41775;20972;580;20803;40,6;39,8;41,3;2482;7
"Nijmegen";173556;89591;3013;83965;39,2;38,7;39,7;8301;6
"Nissewaard";85401;43598;865;41803;42,4;41,4;43,3;4273;6
"Noord-Beveland";7382;3691;61;3691;46,8;46,4;47,2;305;7
"Noordenveld";32981;16808;161;16173;44,6;43,7;45,4;1584;7
"Noordoostpolder";46544;22882;78;23662;40,0;39,1;41,0;2769;6
"Noordwijk";25867;12928;502;12939;43,9;42,9;44,8;1117;7
"Noordwijkerhout";16318;8101;697;8217;43,0;41,8;44,1;747;7
"Nuenen c.a.";22866;11555;674;11311;45,4;44,5;46,3;1032;9
"Nunspeet";26892;13592;208;13300;41,4;40,1;42,5;1557;7
"Nuth";15305;7744;462;7561;46,9;46,2;47,7;579;8
"Oegstgeest";23608;12267;2962;11341;42,4;40,9;43,8;1304;8
"Oirschot";18499;9194;180;9305;43,5;42,7;44,3;838;8
"Oisterwijk";25936;13178;398;12758;44,5;43,4;45,6;1087;8
"Oldambt";38108;19194;129;18914;45,3;44,4;46,1;1552;6
"Oldebroek";23256;11520;235;11736;40,9;40,1;41,8;1297;8
"Oldenzaal";32006;16120;1458;15886;43,1;41,9;44,2;1531;8
"Olst-Wijhe";17957;8886;152;9071;43,2;42,4;44,1;825;8
"Ommen";17531;8676;96;8855;43,0;42,1;43,8;911;7
"Onderbanken";7865;3911;370;3954;45,6;44,5;46,7;301;7
"Oost Gelre";29634;14637;269;14997;43,2;42,1;44,3;1307;7
"Oosterhout";54604;27732;747;26872;43,6;42,8;44,4;2581;7
"Ooststellingwerf";25540;12763;113;12777;44,5;43,4;45,6;1143;6
"Oostzaan";9652;4920;600;4732;42,8;41,8;43,6;483;7
"Opmeer";11420;5628;272;5792;42,5;41,5;43,5;506;7
"Opsterland";29718;14839;131;14879;42,9;42,0;43,9;1328;7
"Oss";90376;45026;529;45350;42,3;41,5;43,1;4376;6
"Oud-Beijerland";24015;12231;1225;11784;42,0;40,8;43,2;1250;6
"Oude IJsselstreek";39568;19702;287;19866;44,3;43,1;45,5;1684;7
"Ouder-Amstel";13419;6865;521;6554;42,9;41,7;44,0;701;7
"Oudewater";10187;5198;254;4989;42,0;41,0;43,0;560;6
"Overbetuwe";47394;23833;412;23561;41,3;40,7;41,9;2583;8
"Papendrecht";32292;16421;2993;15871;42,6;41,6;43,7;1655;6
"Peel en Maas";43347;21348;269;21999;43,7;43,1;44,3;1895;7
"Pekela";12517;6176;249;6341;43,5;42,6;44,4;637;6
"Pijnacker-Nootdorp";52656;26441;1363;26215;38,9;38,3;39,5;3018;8
"Purmerend";79928;40955;3254;38973;42,6;41,4;43,8;3658;6
"Putten";24428;12299;279;12129;41,5;40,6;42,4;1315;7
"Raalte";36907;18358;214;18549;43,4;42,5;44,3;1763;8
"Reimerswaal";22356;11099;92;11257;38,6;38,0;39,2;1568;6
"Renkum";31391;16073;665;15318;46,8;45,3;48,2;1231;8
"Renswoude";5101;2561;276;2540;37,4;37,0;37,8;392;7
"Reusel-De Mierden";12908;6273;164;6635;42,1;41,7;42,4;690;7
"Rheden";43645;22304;517;21341;45,9;44,0;47,6;1776;7
"Rhenen";19597;9944;448;9653;42,0;41,3;42,8;1052;7
"Ridderkerk";45408;23405;1798;22003;44,8;43,5;46,0;2193;6
"Rijnwaarden";10852;5464;226;5388;43,9;43,3;44,4;474;7
"Rijssen-Holten";37983;19042;402;18941;39,5;38,5;40,6;2438;8
"Rijswijk";51027;26703;3522;24324;43,8;42,2;45,3;3024;6
"Roerdalen";20700;10348;233;10352;46,5;45,9;47,2;796;8
"Roermond";57390;29052;808;28338;43,0;42,1;43,9;2743;7
"Roosendaal";77163;39016;720;38147;43,0;42,1;43,9;3844;6
"Rotterdam";634660;321879;1958;312781;39,2;38,3;40,1;37317;4
"Rozendaal";1498;755;54;743;47,4;46,5;48,3;50;9
"Rucphen";22345;11075;347;11270;45,3;44,5;46,1;886;7
"Schagen";46193;23085;247;23108;43,9;42,9;44,8;1887;7
"Scherpenzeel";9704;4894;703;4810;39,6;38,4;40,8;669;7
"Schiedam";77838;39378;3919;38460;40,9;40,0;41,8;4227;5
"Schiermonnikoog";941;458;5;483;48,1;46,8;49,4;29;6
"Schinnen";12954;6486;537;6468;46,2;44,9;47,5;526;8
"Schouwen-Duiveland";33765;17044;69;16721;46,1;45,1;47,2;1416;6
"'s-Hertogenbosch";152411;77135;1291;75276;41,1;40,3;41,9;8219;6
"Simpelveld";10571;5335;659;5236;46,5;45,6;47,3;377;7
"Sint Anthonis";11594;5587;116;6007;43,9;43,1;44,7;483;8
"Sint-Michielsgestel";28584;14212;482;14372;43,4;42,5;44,3;1311;8
"Sittard-Geleen";93319;47314;1158;46005;45,2;44,0;46,3;3695;6
"Sliedrecht";25012;12684;1785;12328;40,9;39,8;42,0;1556;6
"Slochteren";14737;7222;99;7515;43,2;42,6;43,8;668;8
"Sluis";23658;11989;77;11669;47,2;46,0;48,3;946;6
"Smallingerland";55695;27983;441;27712;42,3;41,1;43,5;2802;7
"Soest";45874;23461;988;22413;43,5;42,3;44,7;2164;7
"Someren";19036;9322;234;9714;42,8;41,8;43,9;937;8
"Son en Breugel";16626;8422;627;8204;43,4;42,3;44,5;867;7
"Stadskanaal";32252;16249;269;16003;45,0;43,6;46,3;1414;6
"Staphorst";16691;8142;123;8549;37,1;36,3;37,9;1228;8
"Stede Broec";21552;10715;1317;10837;42,0;41,5;42,6;1152;7
"Steenbergen";23970;11765;151;12205;43,7;42,5;45,0;1023;6
"Steenwijkerland";43448;21661;135;21787;43,3;42,5;44,1;2182;7
"Stein";25059;12634;1099;12425;46,7;45,8;47,6;880;7
"Stichtse Vecht";64450;32901;603;31549;42,3;41,4;43,1;3465;6
"Strijen";8785;4439;152;4346;44,5;43,9;45,1;332;7
"Súdwest-Fryslân";84158;41975;100;42183;42,9;42,1;43,8;4101;7
"Ten Boer";7288;3681;159;3607;42,4;41,0;43,7;388;8
"Terneuzen";54588;27449;172;27139;45,1;44,0;46,1;2482;6
"Terschelling";4859;2280;7;2579;43,5;41,8;45,5;183;4
"Texel";13545;6813;29;6732;45,3;44,6;46,0;549;8
"Teylingen";36093;18077;1078;18016;42,1;41,1;43,1;1704;7
"Tholen";25527;12779;101;12748;40,7;40,0;41,4;1471;6
"Tiel";41488;20843;1168;20645;40,9;40,0;41,8;2058;6
"Tilburg";213804;107376;1794;106428;40,0;39,2;40,7;10672;6
"Tubbergen";21153;10356;143;10797;41,1;40,1;42,2;1015;8
"Twenterand";33845;16699;313;17146;40,4;39,5;41,5;1882;8
"Tynaarlo";33280;16884;225;16396;44,8;43,8;45,8;1744;8
"Tytsjerksteradiel";31963;16002;198;15961;43,4;42,5;44,3;1529;7
"Uden";41384;20867;613;20517;42,6;41,8;43,4;2042;6
"Uitgeest";13465;6704;604;6761;40,8;40,0;41,6;718;6
"Uithoorn";29201;14798;1504;14403;41,8;40,7;42,7;1481;6
"Urk";20220;10028;184;10192;31,5;30,9;32,0;1944;7
"Utrecht";343038;175451;3458;167587;35,5;35,3;35,8;22364;6
"Utrechtse Heuvelrug";49035;25065;366;23970;44,7;43,1;46,2;2255;7
"Vaals";9710;4835;406;4875;48,2;46,7;49,6;317;6
"Valkenburg aan de Geul";16440;8336;445;8104;48,2;47,0;49,4;534;7
"Valkenswaard";30516;15424;540;15092;45,6;44,6;46,6;1263;7
"Veendam";27527;13900;350;13627;43,8;42,7;44,9;1246;6
"Veenendaal";64277;32569;3259;31708;39,9;38,9;41,0;3864;7
"Veere";21900;10882;106;11018;45,3;44,2;46,3;1068;9
"Veldhoven";44724;22439;1401;22285;43,3;42,4;44,2;2172;8
"Velsen";67619;34078;1070;33541;42,9;41,9;43,9;3310;6
"Venlo";101059;50778;783;50281;43,4;42,6;44,3;4631;6
"Venray";43565;21431;264;22134;42,9;42,0;43,7;2004;6
"Vianen";19714;10014;465;9700;42,2;41,2;43,2;1012;6
"Vlaardingen";71999;36852;2698;35147;42,7;41,5;43,9;3971;5
"Vlagtwedde";15908;7969;93;7939;46,1;44,9;47,2;634;6
"Vlieland";1085;552;3;533;44,0;43,5;44,5;31;4
"Vlissingen";44394;22334;129;22060;43,9;42,7;45,1;2022;6
"Voerendaal";12462;6319;395;6143;46,6;45,9;47,4;536;8
"Voorschoten";25315;13141;2190;12174;43,4;42,3;44,5;1378;7
"Voorst";24199;12103;191;12096;44,4;43,5;45,3;1189;8
"Vught";26183;13188;760;12995;43,0;41,7;44,2;1386;8
"Waalre";16898;8579;746;8319;44,5;43,2;45,7;857;8
"Waalwijk";47410;23794;701;23616;43,0;42,0;43,9;2325;6
"Waddinxveen";26536;13344;903;13192;41,9;41,0;42,8;1476;6
"Wageningen";38458;19989;1188;18469;38,7;38,0;39,3;1493;7
"Wassenaar";26055;13742;418;12313;45,3;44,0;46,5;1075;9
"Waterland";17290;8765;149;8525;44,6;44,0;45,2;810;7
"Weert";49574;24734;470;24840;44,1;43,3;45,0;2265;7
"Weesp";18751;9689;859;9062;42,8;42,0;43,5;1007;6
"Werkendam";26844;13383;220;13461;41,4;40,5;42,3;1437;7
"West Maas en Waal";18820;9437;221;9383;43,6;42,8;44,4;821;7
"Westerveld";19084;9586;67;9498;47,1;46,3;47,9;721;8
"Westervoort";14991;7664;1912;7327;42,8;42,0;43,5;696;7
"Westland";105632;52933;1164;52699;41,5;40,7;42,3;5399;6
"Weststellingwerf";25608;12843;112;12765;44,3;43,2;45,5;1185;7
"Westvoorne";14257;7191;146;7066;47,0;45,6;48,4;505;7
"Wierden";24225;12133;254;12092;41,8;41,0;42,7;1336;9
"Wijchen";40876;20656;588;20220;42,7;41,9;43,4;1872;7
"Wijdemeren";23447;12029;307;11418;45,3;44,4;46,1;999;8
"Wijk bij Duurstede";23502;11924;468;11578;42,2;41,4;42,9;1187;7
"Winsum";13596;6892;133;6704;43,4;42,3;44,5;628;7
"Winterswijk";28912;14439;208;14473;44,0;42,9;45,2;1202;7
"Woensdrecht";21837;10874;237;10963;44,6;43,9;45,4;944;7
"Woerden";51513;26031;554;25482;40,8;39,9;41,6;2899;7
"Wormerland";15820;7987;350;7833;44,4;43,6;45,2;603;7
"Woudenberg";12701;6327;345;6374;40,3;38,9;41,7;803;8
"Woudrichem";14539;7255;281;7284;42,2;41,5;43,0;717;7
"Zaanstad";153679;77665;1846;76014;41,1;40,2;42,0;8479;6
"Zaltbommel";27728;13819;311;13909;40,2;39,3;41,1;1611;7
"Zandvoort";16899;8727;384;8172;46,6;45,2;47,8;676;7
"Zederik";13842;6907;181;6935;40,6;39,8;41,4;874;7
"Zeewolde";22457;10908;84;11549;37,9;37,2;38,8;1193;6
"Zeist";62830;32303;1291;30527;42,2;40,7;43,6;3520;7
"Zevenaar";32379;16489;558;15890;44,6;43,5;45,6;1462;7
"Zoetermeer";124763;63840;3367;60923;41,1;40,2;42,0;6848;6
"Zoeterwoude";8367;4221;381;4146;43,2;42,9;43,5;359;8
"Zuidhorn";18859;9432;147;9427;41,3;40,4;42,3;1104;8
"Zuidplas";41468;20886;647;20582;41,2;40,5;42,0;2302;7
"Zundert";21657;10536;179;11121;44,4;43,7;45,1;939;6
"Zutphen";47340;24117;1103;23223;43,0;41,9;44,0;1994;7
"Zwartewaterland";22309;10949;254;11360;38,4;37,6;39,2;1455;7
"Zwijndrecht";44417;22858;1951;21559;43,1;41,7;44,4;2315;6
"Zwolle";125548;63821;1052;61727;39,0;38,2;39,7;7646;7
