"","Tijdstempel","Student","Postcode","Geslacht","Leeftijd","Merkbekendheid","Reclameactiviteiten","Webshop","Social.media","Koopfactoren","Online.vs.fysiek","Informatietevredenheid","Koopbereidheid","Aanbevelen","Online.niet.aanwezig","Menselijk.contact","Persoonlijke.aandacht","Verbinding","Menselijke.betrokkenheid","Non.verbale.comm","Houding.verkopers","Beeld.verkopers","Community","Informatie.gebruikers","Bedrijf"
"247","26/04/2018 12:11:03","Ja",6566,"Vrouw","20","Ja","Maandelijks","Ja","Nee","Prijs, Plaats, Kwaliteit","Fysieke winkel",3,"Ja","Ja","Ja",2,2,2,2,2,3,1,2,2,"Ikea"
"248","26/04/2018 12:52:48","Ja",5831,"Vrouw","17 of jonger","Ja","Wekelijks","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",5,"Nee","Ja","Nee",3,3,1,4,3,5,1,1,5,"Ikea"
"249","26/04/2018 13:06:18","Ja",5446,"Vrouw","18","Ja","Wekelijks","Ja","Ja","Prijs, Reclame, Plaats","Online",3,"Ja","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"250","26/04/2018 13:49:56","Ja",5042,"Vrouw","21","Ja","Nooit","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",5,"Nee","Ja","Nee",3,2,2,2,2,2,2,2,2,"Ikea"
"251","26/04/2018 14:00:32","Ja",5446,"Man","20","Ja","Maandelijks","Nee","Nee","Prijs, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Nee",2,4,3,2,2,3,2,3,4,"Ikea"
"252","26/04/2018 14:25:38","Ja",6524,"Neutraal","19","Ja","Maandelijks","Ja","Nee","Prijs, Reclame, Plaats, Personeel, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Nee",2,2,2,2,2,3,1,4,3,"Ikea"
"253","26/04/2018 14:51:18","Ja",5446,"Man","19","Ja","Wekelijks","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",4,"Nee","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"254","26/04/2018 17:31:25","Ja",4556,"Neutraal","17 of jonger","Nee","Nooit","Nee","Nee","Kwaliteit","Online",5,"Ja","Ja","Nee",3,4,2,5,5,1,3,4,3,"Ikea"
"255","26/04/2018 19:17:38","Ja",5446,"Man","20","Ja","Wekelijks","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",4,"Nee","Ja","Nee",2,4,2,3,3,3,3,2,3,"Ikea"
"256","27/04/2018 02:08:05","Ja",6521,"Man","18","Ja","Maandelijks","Ja","Ja","Prijs, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Nee",3,2,2,2,2,4,4,3,4,"Ikea"
"257","27/04/2018 10:47:26","Ja",5446,"Vrouw","18","Ja","Wekelijks","Ja","Ja","Prijs, Reclame, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Nee",1,1,1,1,3,1,1,2,1,"Ikea"
"258","27/04/2018 21:13:00","Ja",6566,"Vrouw","20","Ja","Maandelijks","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Nee",3,2,3,2,1,4,2,2,4,"Ikea"
"259","28/04/2018 13:40:03","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ikea"
"260","29/04/2018 01:23:04","Ja",6532,"Vrouw","20","Ja","Wekelijks","Nee","Nee","Prijs, Kwaliteit","Fysieke winkel",2,"Ja","Ja","Nee",3,3,3,3,3,3,3,3,3,"Ikea"
"261","29/04/2018 14:48:08","Ja",6566,"Man","18","Ja","Maandelijks","Ja","Nee","Prijs, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",2,3,3,3,4,3,1,3,3,"Ikea"
"262","02/05/2018 11:16:13","Ja",6663,"Vrouw","19","Ja","Maandelijks","Ja","Nee","Prijs, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Nee",3,4,3,3,3,4,4,4,3,"Ikea"
"263","10/05/2018 15:18:04","Ja",6524,"Vrouw","21","Ja","Maandelijks","Ja","Nee","Prijs","Fysieke winkel",4,"Ja","Ja","Nee",3,3,3,3,3,2,2,1,1,"Ikea"
"264","10/05/2018 15:19:52","Ja",6521,"Vrouw","22","Ja","Maandelijks","Ja","Nee","Prijs, Reclame, Plaats","Fysieke winkel",4,"Ja","Ja","Ja",4,2,3,3,2,3,3,2,2,"Ikea"
"265","10/05/2018 15:20:13","Ja",6571,"Vrouw","20","Ja","Wekelijks","Ja","Nee","Prijs, Reclame, Plaats","Fysieke winkel",5,"Ja","Ja","Nee",2,2,1,3,1,3,4,1,1,"Ikea"
"266","24/05/2018 11:30:31","Ja",6566,"Vrouw","19","Ja","Maandelijks","Ja","Nee","Prijs, Plaats, Kwaliteit","Fysieke winkel",5,"Nee","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"267","24/05/2018 11:31:31","Ja",7464,"Vrouw","19","Ja","Maandelijks","Ja","Nee","Prijs, Plaats, Kwaliteit","Fysieke winkel",5,"Nee","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"268","24/05/2018 11:33:07","Ja",6566,"Man","19","Ja","Maandelijks","Ja","Nee","Prijs, Reclame, Personeel","Fysieke winkel",5,"Ja","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"269","24/05/2018 11:34:23","Ja",6566,"Vrouw","19","Ja","Maandelijks","Ja","Nee","Prijs, Reclame, Plaats, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"270","24/05/2018 11:35:14","Ja",6566,"Vrouw","19","Ja","Wekelijks","Ja","Ja","Prijs, Reclame, Plaats, Personeel, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",4,4,4,4,4,4,4,4,4,"Ikea"
"271","24/05/2018 11:36:07","Ja",6566,"Vrouw","19","Ja","Nooit","Ja","Ja","Prijs, Reclame, Plaats, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"272","24/05/2018 11:37:12","Ja",6578,"Man","20","Ja","Maandelijks","Ja","Nee","Prijs, Reclame, Plaats, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"273","24/05/2018 11:38:23","Ja",6566,"Vrouw","19","Ja","Maandelijks","Ja","Ja","Prijs, Reclame, Plaats, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",4,4,4,4,4,4,4,4,4,"Ikea"
"274","24/05/2018 11:39:14","Ja",6578,"Vrouw","20","Ja","Maandelijks","Ja","Nee","Prijs, Reclame, Plaats, Personeel, Kwaliteit","Fysieke winkel",5,"Nee","Ja","Ja",4,3,3,4,4,3,3,4,3,"Ikea"
"275","24/05/2018 11:40:04","Ja",6578,"Vrouw","18","Ja","Maandelijks","Ja","Nee","Prijs, Plaats, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"276","24/05/2018 11:41:32","Ja",6566,"Vrouw","21","Ja","Maandelijks","Ja","Nee","Prijs, Reclame, Plaats, Personeel","Fysieke winkel",5,"Nee","Ja","Ja",4,4,4,4,4,4,4,4,4,"Ikea"
"277","24/05/2018 11:42:44","Ja",6454,"Man","20","Ja","Maandelijks","Ja","Nee","Prijs, Reclame, Plaats, Personeel, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",4,4,4,4,4,4,4,4,4,"Ikea"
"278","24/05/2018 11:44:28","Ja",3971,"Vrouw","20","Ja","Maandelijks","Ja","Ja","Prijs, Reclame, Plaats, Personeel","Fysieke winkel",5,"Ja","Ja","Ja",4,4,4,4,4,4,4,4,4,"Ikea"
"279","24/05/2018 11:45:43","Ja",3966,"Man","20","Ja","Nooit","Ja","Nee","Prijs, Plaats, Personeel","Online",5,"Nee","Ja","Nee",5,3,4,3,4,3,4,3,4,"Ikea"
"280","24/05/2018 11:46:46","Ja",3980,"Vrouw","20","Ja","Nooit","Ja","Nee","Prijs, Plaats, Personeel, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",3,3,3,3,3,3,4,4,4,"Ikea"
"281","24/05/2018 11:48:41","Ja",3980,"Vrouw","19","Ja","Maandelijks","Ja","Ja","Prijs, Plaats, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"282","25/04/2018 10:01:11","Ja",3903,"Man","20","Ja","Dagelijks","Ja","Ja","Prijs, Personeel, Kwaliteit","Online",4,"Ja","Ja","Ja",2,2,2,3,3,1,2,1,1,"Rituals"
"283","25/04/2018 10:02:04","Ja",5845,"Man","19","Ja","Maandelijks","Ja","Ja","Prijs, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",3,3,2,2,3,3,3,2,1,"Rituals"
"284","25/04/2018 16:18:18","Ja",6524,"Vrouw","21","Ja","Nooit","Ja","Nee","Prijs, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",2,4,4,3,3,4,2,1,1,"Rituals"
"285","25/04/2018 17:26:27","Ja",5446,"Man","17 of jonger","Ja","Nooit","Nee","Nee","Prijs, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",4,3,1,4,3,3,4,2,1,"Rituals"
"286","25/04/2018 17:35:54","Ja",5348,"Man","21","Ja","Nooit","Nee","Ja","Prijs, Reclame, Plaats, Personeel, Kwaliteit","Fysieke winkel",2,"Ja","Ja","Ja",2,2,2,2,4,4,4,2,2,"Rituals"
"287","25/04/2018 17:37:51","Ja",5371,"Man","21","Ja","Nooit","Nee","Ja","Prijs, Kwaliteit","Fysieke winkel",3,"Ja","Ja","Ja",3,2,2,4,4,4,1,4,2,"Rituals"
"288","25/04/2018 17:39:57","Ja",5345,"Man","18","Ja","Maandelijks","Ja","Ja","Prijs, Reclame, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",4,1,2,2,3,2,1,3,2,"Rituals"
"289","25/04/2018 17:46:35","Ja",1234,"Neutraal","26 en ouder","Nee","Nooit","Nee","Nee","Plaats","Fysieke winkel",1,"Nee","Nee","Nee",1,1,1,1,1,1,1,1,1,"Rituals"
"290","25/04/2018 17:47:12","Ja",5454,"Man","18","Ja","Nooit","Ja","Ja","Prijs, Reclame, Kwaliteit","Online",2,"Ja","Ja","Ja",4,4,3,4,4,2,2,2,2,"Rituals"
"291","25/04/2018 18:51:52","Ja",5845,"Vrouw","21","Ja","Nooit","Nee","Ja","Prijs, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",2,2,2,2,3,2,2,2,1,"Rituals"
"292","25/04/2018 19:00:31","Ja",5845,"Vrouw","18","Ja","Maandelijks","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",3,3,3,4,4,4,3,2,1,"Rituals"
"293","25/04/2018 22:58:50","Ja",5835,"Vrouw","17 of jonger","Ja","Wekelijks","Ja","Ja","Prijs, Reclame, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Nee",3,3,2,3,4,3,3,3,3,"Rituals"
"294","26/04/2018 10:31:02","Ja",3903,"Vrouw","21","Ja","Wekelijks","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",2,3,1,3,3,1,1,1,1,"Rituals"
"295","26/04/2018 11:20:15","Ja",5431,"Man","21","Ja","Nooit","Nee","Nee","Reclame, Plaats","Online",5,"Nee","Nee","Nee",4,2,4,1,4,3,4,2,4,"Rituals"
"296","26/04/2018 12:32:00","Ja",6591,"Man","19","Nee","Nooit","Nee","Nee","Prijs, Kwaliteit","Fysieke winkel",4,"Nee","Nee","Nee",4,3,4,4,3,5,2,4,3,"Rituals"
"297","26/04/2018 12:32:43","Ja",5845,"Man","17 of jonger","Ja","Nooit","Ja","Ja","Prijs, Reclame, Plaats, Kwaliteit","Online",5,"Ja","Ja","Ja",2,2,2,2,2,2,2,2,1,"Rituals"
"298","26/04/2018 12:32:55","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"299","26/04/2018 12:35:49","Ja",5447,"Man","25","Ja","Maandelijks","Ja","Ja","Prijs, Kwaliteit","Online",4,"Ja","Ja","Ja",1,2,2,2,3,2,2,2,2,"Rituals"
"300","26/04/2018 13:32:34","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"301","26/04/2018 13:32:40","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"302","26/04/2018 13:34:03","Ja",5845,"Vrouw","21","Ja","Nooit","Ja","Ja","Prijs, Kwaliteit","Online",5,"Ja","Ja","Ja",2,2,2,2,2,3,2,2,1,"Rituals"
"303","26/04/2018 13:39:20","Ja",6711,"Vrouw","18","Ja","Wekelijks","Ja","Nee","Prijs, Kwaliteit","Online",3,"Ja","Ja","Ja",4,4,2,3,3,3,3,3,2,"Rituals"
"304","26/04/2018 13:40:52","Ja",5431,"Man","17 of jonger","Ja","Maandelijks","Ja","Ja","Prijs","Fysieke winkel",4,"Ja","Ja","Ja",2,2,2,3,2,2,2,2,2,"Rituals"
"305","26/04/2018 14:30:13","Ja",5835,"Man","22","Ja","Nooit","Ja","Ja","Prijs, Reclame, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Nee",2,2,3,2,2,2,2,2,1,"Rituals"
"306","26/04/2018 17:02:00","Ja",5845,"Vrouw","19","Ja","Nooit","Nee","Ja","Prijs","Fysieke winkel",5,"Ja","Ja","Ja",1,2,2,2,1,2,2,1,2,"Rituals"
"307","26/04/2018 18:35:23","Ja",485,"Man","17 of jonger","Ja","Nooit","Ja","Ja","Prijs, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",2,2,1,2,2,2,2,2,1,"Rituals"
"308","26/04/2018 19:43:18","Ja",5836,"Man","20","Ja","Nooit","Ja","Ja","Prijs, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",2,2,2,2,2,1,1,2,1,"Rituals"
"309","28/04/2018 10:17:26","Ja",5845,"Man","21","Ja","Nooit","Ja","Ja","Prijs, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Nee",2,2,2,2,2,2,2,1,2,"Rituals"
"310","02/05/2018 10:59:52","Ja",6342,"Vrouw","19","Ja","Maandelijks","Ja","Ja","Prijs, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",4,5,5,5,3,3,3,1,1,"Rituals"
"311","02/05/2018 11:03:00","Ja",6578,"Vrouw","23","Ja","Maandelijks","Ja","Ja","Prijs, Plaats, Personeel, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",3,5,4,5,3,4,3,1,1,"Rituals"
"312","02/05/2018 11:09:12","Ja",6525,"Vrouw","21","Ja","Nooit","Ja","Ja","Plaats, Personeel, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",4,5,4,5,3,4,3,1,1,"Rituals"
"313","02/05/2018 11:32:56","Ja",5800,"Man","23","Ja","Nooit","Ja","Ja","Prijs, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",2,2,2,2,2,1,1,1,2,"Rituals"
"314","02/05/2018 21:43:59","Ja",6571,"Vrouw","22","Ja","Maandelijks","Ja","Ja","Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",4,4,4,4,4,3,3,1,1,"Rituals"
"315","02/05/2018 21:45:14","Ja",6524,"Vrouw","21","Ja","Nooit","Ja","Ja","Plaats, Kwaliteit","Online",4,"Ja","Ja","Ja",3,4,3,4,2,2,2,1,1,"Rituals"
"316","02/05/2018 21:46:46","Ja",6569,"Man","21","Ja","Nooit","Nee","Ja","Prijs, Kwaliteit","Online",4,"Nee","Ja","Ja",4,4,4,4,3,3,3,1,1,"Rituals"
"317","03/05/2018 13:55:49","Ja",6522,"Vrouw","18","Ja","Nooit","Ja","Ja","Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",4,5,3,4,3,3,3,1,1,"Rituals"
"318","03/05/2018 13:58:43","Ja",6527,"Vrouw","22","Ja","Maandelijks","Ja","Ja","Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",4,4,4,4,2,3,3,1,1,"Rituals"
"319","03/05/2018 14:11:15","Ja",3911,"Man","22","Ja","Nooit","Nee","Ja","Prijs, Kwaliteit","Fysieke winkel",3,"Ja","Ja","Ja",2,2,1,3,4,2,3,1,3,"Rituals"
"320","03/05/2018 14:16:45","Ja",3911,"Man","21","Ja","Wekelijks","Ja","Nee","Personeel","Fysieke winkel",4,"Ja","Ja","Nee",3,2,2,4,3,1,2,1,1,"Rituals"
"321","03/05/2018 14:18:28","Ja",5845,"Man","21","Ja","Nooit","Ja","Ja","Prijs, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",2,2,1,2,1,1,2,2,2,"Rituals"
"322","03/05/2018 14:26:09","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"323","03/05/2018 14:47:47","Ja",5364,"Vrouw","19","Ja","Maandelijks","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",3,"Nee","Nee","Ja",3,3,1,3,3,1,1,3,1,"Rituals"
"324","03/05/2018 14:49:08","Ja",6604,"Man","22","Ja","Maandelijks","Ja","Nee","Prijs, Plaats, Kwaliteit","Online",3,"Nee","Ja","Nee",4,3,2,3,3,2,2,3,2,"Rituals"
"325","03/05/2018 15:05:38","Ja",6604,"Vrouw","18","Ja","Maandelijks","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",4,"Nee","Ja","Nee",4,4,3,4,3,4,3,4,4,"Rituals"
"326","03/05/2018 15:30:04","Ja",6604,"Man","21","Ja","Nooit","Nee","Ja","Prijs, Reclame, Plaats, Personeel, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",5,4,3,4,3,4,4,5,4,"Rituals"
"327","03/05/2018 16:22:46","Ja",6511,"Vrouw","21","Ja","Nooit","Ja","Nee","Kwaliteit","Online",3,"Nee","Nee","Nee",1,1,1,1,2,1,1,1,3,"Rituals"
"328","03/05/2018 17:29:39","Ja",6601,"Man","19","Nee","Nooit","Nee","Ja","Prijs, Reclame, Personeel, Kwaliteit","Fysieke winkel",3,"Ja","Ja","Nee",3,3,3,3,3,3,3,3,3,"Rituals"
"329","03/05/2018 18:42:26","Ja",5845,"Man","17 of jonger","Ja","Maandelijks","Ja","Ja","Prijs, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",2,2,2,2,1,1,2,2,1,"Rituals"
"330","03/05/2018 19:21:23","Ja",6601,"Vrouw","18","Ja","Nooit","Nee","Ja","Prijs, Kwaliteit","Online",4,"Nee","Ja","Nee",3,3,3,3,3,5,4,4,4,"Rituals"
"331","03/05/2018 20:43:01","Ja",6604,"Vrouw","21","Ja","Maandelijks","Ja","Ja","Prijs, Kwaliteit","Online",3,"Ja","Ja","Nee",3,3,3,3,3,3,3,3,4,"Rituals"
"332","03/05/2018 20:58:58","Ja",5463,"Man","19","Ja","Nooit","Ja","Ja","Prijs, Kwaliteit","Fysieke winkel",3,"Ja","Ja","Ja",3,3,3,3,4,4,2,3,3,"Rituals"
"333","03/05/2018 21:36:16","Ja",6601,"Vrouw","18","Ja","Maandelijks","Ja","Nee","Prijs, Personeel, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",2,3,3,3,3,2,1,3,3,"Rituals"
"334","03/05/2018 21:48:14","Ja",5431,"Man","26 en ouder","Nee","Nooit","Nee","Ja","Prijs, Kwaliteit","Online",5,"Nee","Nee","Nee",3,4,4,4,3,4,4,4,3,"Rituals"
"335","04/05/2018 05:53:20","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"336","04/05/2018 09:55:30","Ja",5374,"Vrouw","19","Ja","Maandelijks","Ja","Ja","Kwaliteit","Online",4,"Ja","Ja","Ja",3,3,3,3,3,3,1,3,3,"Rituals"
"337","04/05/2018 10:29:45","Ja",1012,"Neutraal","19","Nee","Nooit","Nee","Ja","Prijs, Kwaliteit","Online",4,"Nee","Nee","Ja",2,1,2,2,4,3,1,1,2,"Rituals"
"338","04/05/2018 10:32:35","Ja",1012,"Man","21","Ja","Wekelijks","Nee","Ja","Prijs, Plaats, Kwaliteit","Online",2,"Ja","Ja","Nee",4,2,3,2,4,2,3,2,2,"Rituals"
"339","04/05/2018 10:36:52","Ja",1012,"Man","21","Ja","Maandelijks","Ja","Ja","Plaats, Kwaliteit","Fysieke winkel",3,"Nee","Nee","Ja",2,3,3,2,5,1,1,1,1,"Rituals"
"340","04/05/2018 11:36:36","Ja",1012,"Vrouw","20","Ja","Dagelijks","Ja","Ja","Prijs, Kwaliteit","Online",4,"Ja","Ja","Nee",3,4,4,3,4,2,3,3,2,"Rituals"
"341","04/05/2018 16:23:30","Ja",6511,"Vrouw","21","Ja","Nooit","Ja","Ja","Prijs, Reclame, Kwaliteit","Fysieke winkel",2,"Ja","Ja","Nee",2,2,2,4,4,4,4,2,2,"Rituals"
"342","04/05/2018 16:29:39","Ja",5361,"Man","20","Ja","Maandelijks","Ja","Ja","Prijs, Reclame, Plaats, Personeel, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",4,4,4,4,3,4,2,3,3,"Rituals"
"343","05/05/2018 00:16:53","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"344","05/05/2018 01:32:00","Ja",5943,"Man","21","Ja","Maandelijks","Nee","Nee","Prijs, Kwaliteit","Fysieke winkel",3,"Nee","Nee","Ja",4,4,3,3,4,3,2,4,2,"Rituals"
"345","05/05/2018 23:53:36","Ja",5845,"Man","26 en ouder","Ja","Nooit","Ja","Nee","Prijs, Kwaliteit","Online",4,"Ja","Ja","Ja",2,2,2,2,2,2,2,1,2,"Rituals"
"346","08/05/2018 12:58:11","Ja",6524,"Vrouw","21","Ja","Nooit","Ja","Nee","Plaats, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",4,5,3,5,3,3,3,1,1,"Rituals"
"347","08/05/2018 13:00:11","Ja",6534,"Vrouw","19","Ja","Maandelijks","Ja","Nee","Prijs, Plaats, Personeel, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",4,4,3,4,2,2,2,1,1,"Rituals"
"348","08/05/2018 15:48:16","Ja",6577,"Vrouw","20","Ja","Maandelijks","Ja","Nee","Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",4,5,4,5,3,3,3,1,1,"Rituals"
"349","08/05/2018 17:06:11","Ja",5845,"Man","23","Ja","Nooit","Ja","Ja","Prijs, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",2,2,2,2,2,2,2,1,1,"Rituals"
"350","09/05/2018 11:45:31","Ja",5845,"Man","20","Ja","Nooit","Ja","Ja","Prijs, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",1,1,1,2,2,1,2,1,1,"Rituals"
"351","09/05/2018 13:51:28","Ja",6545,"Vrouw","18","Ja","Maandelijks","Ja","Ja","Prijs, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",3,4,3,4,3,3,3,1,1,"Rituals"
"352","09/05/2018 13:52:05","Ja",6571,"Man","21","Ja","Nooit","Ja","Ja","Prijs, Reclame, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Nee",2,3,1,3,1,1,3,4,1,"Rituals"
"353","09/05/2018 13:52:46","Ja",6526,"Vrouw","24","Ja","Maandelijks","Ja","Ja","Prijs, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",3,5,3,5,3,3,3,1,1,"Rituals"
"354","09/05/2018 14:18:56","Ja",6571,"Vrouw","22","Ja","Maandelijks","Ja","Nee","Plaats, Personeel, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",3,5,4,5,3,4,4,1,1,"Rituals"
"355","09/05/2018 14:37:50","Ja",6578,"Vrouw","23","Ja","Wekelijks","Ja","Ja","Prijs, Personeel, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",4,5,4,5,4,4,4,2,2,"Rituals"
"356","09/05/2018 17:16:36","Ja",6544,"Vrouw","21","Ja","Maandelijks","Ja","Nee","Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",4,5,3,5,3,3,3,1,1,"Rituals"
"357","10/05/2018 00:58:28","Ja",6526,"Vrouw","20","Ja","Nooit","Ja","Ja","Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",4,4,4,4,4,4,4,2,2,"Rituals"
"358","10/05/2018 15:06:36","Ja",6512,"Vrouw","19","Ja","Maandelijks","Ja","Ja","Plaats, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",3,4,3,4,3,4,4,1,1,"Rituals"
"359","10/05/2018 15:14:13","Ja",6542,"Vrouw","22","Ja","Maandelijks","Ja","Ja","Prijs, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",4,5,4,5,2,3,3,2,1,"Rituals"
"360","10/05/2018 15:35:18","Ja",6574,"Vrouw","20","Ja","Maandelijks","Ja","Ja","Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",4,5,4,5,3,3,3,3,3,"Rituals"
"361","10/05/2018 21:55:15","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"362","11/05/2018 03:15:22","Ja",6544,"Vrouw","21","Ja","Maandelijks","Ja","Ja","Reclame, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",3,5,4,5,3,3,4,1,2,"Rituals"
"363","13/05/2018 14:40:03","Ja",6527,"Vrouw","20","Ja","Maandelijks","Ja","Ja","Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",4,5,3,5,3,4,4,2,2,"Rituals"
