"","Tijdstempel","Bentustudent","Watisuwgeslacht","Watisuwleeftijd","Waaropmaaktudezeenquete","Hoelangverwachtuopzoektezijnnaardeprijsvandeondersta","Hoelangbentubereidomtezoekennaareenproduct","Vuluwbegintijdinengaopzoeknaardebovenstaandetas","Vuluweindtijdinvanhetzoekennaardebovenstaandetas","Voegdelinkvanhetresultaattoe","Watisdeprijsvanhetproductdieuheeftgevonden","Waarbentubegonnenmetzoeken","Inwelkematebentutevredenoverdezoektijd","Zoektijd"
"1","2018/04/19 3:59:17 p.m. EET","Ja","Vrouw","18","Laptop","0-2 Minuten","0-2 minuten",15:58:00,15:58:00,"https://www.travelbags.nl/eastpak-wyoming-laptop-rugzak-15-into-black.html?gclid=EAIaIQobChMI9OO2t7_G2gIVEpkbCh0qkwHAEAQYAyABEgJ1WfD_BwE",69,"Zoekmachine",4,"0"
"2","2018/04/19 4:10:26 p.m. EET","Ja","Man","23","Mobiele telefoon","0-2 Minuten","0-2 minuten",16:07:00,16:10:00,"https://www.eastpak.com/nl-nl/wyoming-into-black-pEK81161K+00+999.html",80,"Zoekmachine",3,"180"
"3","2018/04/19 4:29:41 p.m. EET","Ja","Man","21","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",16:28:00,16:28:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvW0DQzK_baI7BPYaKrNY8cjpx3o6xjxjiU15ikJF75hRn9KS6YgvzQaAmvtEALw_wcB",75,"Zoekmachine",4,"0"
"4","2018/04/19 4:29:46 p.m. EET","Ja","Man","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",16:27:00,16:27:00,"https://www.travelbags.nl/eastpak-wyoming-laptop-rugzak-15-into-black.html?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvVcCYoF0xBbmihZxZknF-h9eTHLMBvFms-mTpKNkSAwICYa9yWKIlsaApCOEALw_wcB",69,"Zoekmachine",4,"0"
"5","2018/04/19 4:34:12 p.m. EET","Ja","Man","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",16:31:00,16:32:00,"https://www.travelbags.nl/eastpak-wyoming-laptop-rugzak-15-into-black.html?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvUb7E7enA8gDWCPaNDlK3VGLl2RO6QlrDkGZlOHUxYJ4Rfn111clekaAmQxEALw_wcB",69,"Zoekmachine",2,"60"
"6","2018/04/19 4:35:43 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",16:34:00,16:34:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvUYhIgoKBHOxlTMd05FornMdTMjgdDQn4VGUjnDuS3CLGC17YG512caAnjzEALw_wcB",75,"Zoekmachine",4,"0"
"7","2018/04/19 4:37:02 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",16:35:00,16:35:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=EAIaIQobChMIvpHs2cfG2gIVC0kZCh0CUQiWEAQYASABEgLMBPD_BwE",75,"Zoekmachine",4,"0"
"8","2018/04/19 4:37:17 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",16:32:00,16:32:00,"https://www.coolblue.nl/product/500327/eastpak-wyoming-black.html?tid=pla-357339211177&ref=324208&gclid=EAIaIQobChMIr9TGjsfG2gIVTWUZCh3LLg8iEAQYAiABEgLy4vD_BwE",52,"Zoekmachine",4,"0"
"9","2018/04/19 4:40:00 p.m. EET","Ja","Vrouw","20","Mobiele telefoon","0-2 Minuten","3-5 minuten",16:38:00,16:39:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvU06Pa4PTpRRSijm8Gl0LHX5ceklEyrXAS5M_Fk8U34h_SDVnWXd8oaAg8oEALw_wcB",75,"Zoekmachine",3,"60"
"10","2018/04/19 5:00:27 p.m. EET","Ja","Man","19","Mobiele telefoon","0-2 Minuten","6-9 minuten",16:59:00,16:59:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvVYJsKQ9w6BrRUgMTYDwpQdZcnCzyPU1R58uWnGyh33gQIn94JBN0waAsKeEALw_wcB",75,"Zoekmachine",4,"0"
"11","2018/04/19 5:17:46 p.m. EET","Ja","Vrouw","21","Mobiele telefoon","3-5 Minuten","Langer dan 10 minuten",17:15:00,17:16:00,"https://www.travelbags.nl/eastpak-wyoming-laptop-rugzak-15-into-black.html?gclid=EAIaIQobChMI2u-Vg9HG2gIVDx0YCh1ffghGEAQYAiABEgLf5PD_BwE",69,"Zoekmachine",4,"60"
"12","2018/04/19 5:21:11 p.m. EET","Ja","Man","22","Mobiele telefoon","0-2 Minuten","0-2 minuten",17:17:00,17:17:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=EAIaIQobChMIvvu8zdHG2gIVE0MYCh1GQwHdEAQYAyABEgIhOvD_BwE",75,"Zoekmachine",4,"0"
"13","2018/04/19 5:24:39 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","3-5 Minuten","6-9 minuten",17:24:00,17:24:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvVxEoQKs6UE3Z76W2W-osjzUWMsk2udVa119YgN63eI6mvs8t2zTssaAnCyEALw_wcB",75,"Zoekmachine",4,"0"
"14","2018/04/19 5:33:25 p.m. EET","Ja","Vrouw","18","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",17:32:00,17:32:00,"https://www.travelbags.nl/eastpak-wyoming-rugzak-black.html?gclid=EAIaIQobChMI-u_hvNTG2gIVkA8YCh0Q0wKWEAQYASABEgKoUPD_BwE",59,"Zoekmachine",4,"0"
"15","2018/04/19 6:12:47 p.m. EET","Ja","Vrouw","18","Laptop","0-2 Minuten","3-5 minuten",18:04:00,18:05:00,"https://www.eastpak.com/nl-nl/wyoming-into-black-pEK81161K+00+999.html",80,"Zoekmachine",4,"60"
"16","2018/04/19 6:24:57 p.m. EET","Ja","Vrouw","Jonger dan 17","Mobiele telefoon","0-2 Minuten","3-5 minuten",18:22:00,18:23:00,"Bol.com",49,"Google",4,"60"
"17","2018/04/19 6:37:50 p.m. EET","Ja","Man","21","Mobiele telefoon","0-2 Minuten","0-2 minuten",18:35:00,18:35:00,"https://www.travelbags.nl/eastpak-wyoming-laptop-rugzak-15-into-black.html?gclid=EAIaIQobChMI9YzRyuLG2gIVDowZCh094ArcEAQYAiABEgIyV_D_BwE",69,"Zoekmachine",4,"0"
"18","2018/04/19 6:46:57 p.m. EET","Ja","Man","18","Mobiele telefoon","0-2 Minuten","0-2 minuten",18:43:00,18:43:00,"https://www.rugzakcenter.nl/category/246448/eastpak-wyoming.html",69,"Afbeelding ingedrukt houden",4,"0"
"19","2018/04/19 7:05:57 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",19:05:00,19:06:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=EAIaIQobChMIuqewjOnG2gIVBcwYCh1vWg-NEAQYASABEgJ9cfD_BwE",75,"Zoekmachine",4,"60"
"20","2018/04/19 7:14:39 p.m. EET","Ja","Man","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",19:12:00,19:13:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvWVQWJJnzYygKZ39gs5y_PozmWij7EgjuPwTm4JiOYQB8HsZhT9s0YaAg12EALw_wcB",75,"Zoekmachine",4,"60"
"21","2018/04/19 10:45:57 p.m. EET","Ja","Man","18","Laptop","0-2 Minuten","3-5 minuten",22:44:00,22:45:00,"https://www.google.nl/aclk?sa=l&ai=DChcSEwi_3eqsmsfaAhVLVdMKHR6GAqMYABAOGgJ3Yg&sig=AOD64_01VerjcSg4-WbdDmjA8Kmc8TDMJw&ctype=5&q=&ved=0ahUKEwj46eOsmsfaAhXGBcAKHamCDkEQ9aACCLoB&adurl=",52,"Zoekmachine",4,"60"
"22","2018/04/20 12:01:26 a.m. EET","Ja","Vrouw","Jonger dan 17","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",12:00:00,12:00:00,"https://www.eastpak.com/nl-nl/wyoming-into-black-pEK81161K+00+999.html?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvVjWYlofty5O77Cir1ekAur5Fs21YeeUATP72g2gFuMPY3zHhlL-egaAp1CEALw_wcB",80,"Zoekmachine",4,"0"
"23","2018/04/20 12:51:42 a.m. EET","Ja","Man","18","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",00:50:00,00:50:00,"https://www.eastpak.com/nl-nl/wyoming-into-black-pEK81161K+00+999.html?gclid=EAIaIQobChMImbHLurbH2gIVQ9OyCh0GJAf4EAQYAiABEgJvsvD_BwE",80,"Zoekmachine",4,"0"
"24","2018/04/20 6:56:42 a.m. EET","Ja","Vrouw","20","Mobiele telefoon","0-2 Minuten","3-5 minuten",06:53:00,06:54:00,"https://www.eastpak.com/nl-nl/catalogsearch/result/?q=Wyoming#p-2",80,"Zoekmachine",3,"60"
"25","2018/04/20 7:47:46 a.m. EET","Ja","Man","17","Mobiele telefoon","0-2 Minuten","0-2 minuten",07:45:00,07:47:00,"https://www.travelbags.nl/eastpak-out-of-office-rugzak-into-black.html",45,"Zoekmachine",4,"120"
"26","2018/04/20 8:29:11 a.m. EET","Ja","Vrouw","22","Mobiele telefoon","3-5 Minuten","3-5 minuten",08:26:00,08:27:00,"https://www.travelbags.nl/eastpak/wyoming/?gclid=EAIaIQobChMItriNrJzI2gIV6jLTCh2hLAn6EAAYASAAEgJ4L_D_BwE",69,"Zoekmachine",4,"60"
"27","2018/04/20 8:45:57 a.m. EET","Ja","Vrouw","20","Laptop","3-5 Minuten","0-2 minuten",08:44:00,08:46:00,"https://www.eastpak.com/nl-nl/wyoming-into-black-pEK81161K+00+999.html",80,"Zoekmachine",3,"120"
"28","2018/04/20 11:17:08 a.m. EET","Ja","Vrouw","20","Laptop","0-2 Minuten","3-5 minuten",11:16:00,11:16:00,"https://www.eastpak.com/nl-nl/wyoming-into-black-pEK81161K+00+999.html?gclid=Cj0KCQjwn-bWBRDGARIsAPS1svtoGbFY4815Va75hLDVxoXzKj_XuPgTr7guf-Hvs52xMDR6_88V-4saAv2cEALw_wcB",80,"Zoekmachine",4,"0"
"29","2018/04/20 1:17:39 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","3-5 Minuten","6-9 minuten",13:16:00,13:17:00,"https://www.eastpak.com/nl-nl/wyoming-into-black-pEK81161K+00+999.html?gclid=Cj0KCQjwn-bWBRDGARIsAPS1svsjxZOnQXhYl2rcUP8kI3D47s1blsbd2FuW4KGyC_jeMoAh0ISBQ_gaAjYiEALw_wcB",80,"Zoekmachine",4,"60"
"30","2018/04/20 5:25:47 p.m. EET","Ja","Vrouw","18","Mobiele telefoon","0-2 Minuten","3-5 minuten",17:25:00,17:26:00,"https://www.travelbags.nl/eastpak-wyoming-laptop-rugzak-15-into-black.html?gclid=EAIaIQobChMI6OvC0sjJ2gIVDdwZCh1dMweTEAQYBSABEgKdYfD_BwE",69,"Zoekmachine",4,"60"
"31","2018/04/20 9:19:01 p.m. EET","Ja","Vrouw","17","Mobiele telefoon","0-2 Minuten","3-5 minuten",21:17:00,21:18:00,"https://www.travelbags.nl/eastpak-wyoming-laptop-rugzak-15-into-black.html?gclid=EAIaIQobChMI6OvC0sjJ2gIVDdwZCh1dMweTEAQYBSABEgKdYfD_BwE",69,"Zoekmachine",4,"60"
"32","2018/04/20 10:21:21 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",22:20:00,22:20:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=EAIaIQobChMI9IH009bJ2gIVQkQYCh0XYADiEAQYASABEgJjvvD_BwE",75,"Zoekmachine",4,"0"
"33","2018/04/20 10:50:07 p.m. EET","Ja","Vrouw","20","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",22:48:00,22:48:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=EAIaIQobChMI4Jzvid3J2gIVi7obCh0rNg_sEAQYASABEgJrlvD_BwE",75,"Zoekmachine",4,"0"
"34","2018/04/23 12:33:06 p.m. EET","Ja","Vrouw","21","Laptop","3-5 Minuten","3-5 minuten",12:29:00,12:29:00,"https://www.eastpak.com/nl-nl/wyoming-into-black-pEK81161K+00+999.html?gclid=CjwKCAjwiPbWBRBtEiwAJakcpDsZ3sSKVdiiIMYYvXm8yJ2U-k8U-jMT3Sebodx_X-W5xBnsNLiizhoCFYIQAvD_BwE",80,"Zoekmachine",4,"0"
"35","2018/04/23 12:34:14 p.m. EET","Ja","Vrouw","21","Mobiele telefoon","0-2 Minuten","0-2 minuten",12:33:00,12:35:00,"https://www.eastpak.com/nl-nl/wyoming-into-black-pEK81161K+00+999.html?gclid=Cj0KCQjw8YXXBRDXARIsAMzsQuWSxqAmjCgH46-ThTTttQnnYzZS4-k3WVzPV6cNXrtDoQQRN_T_PbkaAkQtEALw_wcB",80,"Website van het merk",2,"120"
"36","2018/04/26 10:03:03 a.m. EET","Ja","Vrouw","22","Mobiele telefoon","0-2 Minuten","3-5 minuten",10:01:00,10:02:00,"https://www.eastpak.com/nl-nl/wyoming-into-black-pEK81161K+00+999.html?gclid=Cj0KCQjw8YXXBRDXARIsAMzsQuWSxqAmjCgH46-ThTTttQnnYzZS4-k3WVzPV6cNXrtDoQQRN_T_PbkaAkQtEALw_wcB",80,"Zoekmachine",4,"60"
"37","2018/04/26 12:10:21 p.m. EET","Ja","Man","20","Laptop","3-5 Minuten","3-5 minuten",12:10:00,12:12:00,"https://www.eastpak.com/nl-nl/wyoming-into-black-pEK81161K+00+999.html?gclid=Cj0KCQjw8YXXBRDXARIsAMzsQuX92uyPllJyj5_00v8cS5YU1OCgSMBfLMG3oKJ2bXgvpQWJPg6HnWcaAnq2EALw_wcB",80,"Zoekmachine",4,"120"
"38","2018/04/26 4:30:52 p.m. EET","Ja","Vrouw","18","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",16:29:00,16:30:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=Cj0KCQjw8YXXBRDXARIsAMzsQuWCtctVZPMwQCFciikda1mMZ5lp9LpQGxO7KPuDOQytCDh4evC9wMAaAhH_EALw_wcB",75,"Zoekmachine",4,"60"
"39","2018/04/26 4:37:10 p.m. EET","Ja","Vrouw","18","Mobiele telefoon","3-5 Minuten","6-9 minuten",16:34:00,16:35:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=EAIaIQobChMIht3R4ZTY2gIVBoXVCh2F6gcfEAQYASABEgKm7PD_BwE",75,"Zoekmachine",4,"60"
"40","2018/04/26 4:54:07 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",16:52:00,16:53:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=EAIaIQobChMItMnY35jY2gIVwTobCh2OzArbEAQYASABEgI___D_BwE",75,"Zoekmachine",4,"60"
