"","Tijdstempel","Bent u student","Wat is uw geslacht","Wat is uw leeftijd","Waarop maakt u deze enquete?","Hoelang verwacht u op zoek te zijn naar de prijs van de onderstaande klok? Deze klok is van Ikea","Bereidheid","Starttijd","Eindtijd","Link","Prijs","Bron","Tevredenheid","Zoektijd"
"1","2018/04/19 4:47:09 p.m. EET","Ja","Vrouw","24","Laptop","0-2 Minuten","Langer dan 10 minuten",16:47:00,16:47:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/?query=NUFFRA",7.99,"Website van het merk",4,"0"
"2","2018/04/19 5:01:31 p.m. EET","Ja","Man","18","Mobiele telefoon","0-2 Minuten","0-2 minuten",17:00:00,17:01:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Zoekmachine",4,"60"
"3","2018/04/19 5:08:40 p.m. EET","Ja","Man","22","Mobiele telefoon","0-2 Minuten","3-5 minuten",17:06:00,17:07:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"4","2018/04/19 5:13:36 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","3-5 Minuten","3-5 minuten",17:11:00,17:12:00,"https://m.ikea.com/nl/nl/search/?query=Nuffra&_=1524150724540",7.99,"Zoekmachine",4,"60"
"5","2018/04/19 5:26:06 p.m. EET","Ja","Vrouw","17","Mobiele telefoon","0-2 Minuten","3-5 minuten",17:24:00,17:25:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"6","2018/04/19 5:26:24 p.m. EET","Ja","Vrouw","21","Mobiele telefoon","3-5 Minuten","3-5 minuten",17:24:00,17:25:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"7","2018/04/19 5:37:10 p.m. EET","Ja","Vrouw","18","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",17:35:00,17:35:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Zoekmachine",4,"0"
"8","2018/04/19 7:35:45 p.m. EET","Ja","Vrouw","18","Mobiele telefoon","0-2 Minuten","3-5 minuten",19:34:00,19:35:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"9","2018/04/19 9:39:53 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",21:38:00,21:39:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"10","2018/04/19 9:51:12 p.m. EET","Ja","Man","22","Laptop","0-2 Minuten","0-2 minuten",21:48:00,21:48:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",7.99,"Zoekmachine",1,"0"
"11","2018/04/20 8:25:00 a.m. EET","Ja","Man","21","Mobiele telefoon","0-2 Minuten","6-9 minuten",08:24:00,08:24:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"0"
"12","2018/04/20 8:39:10 a.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",08:37:00,08:38:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"13","2018/04/20 10:08:53 a.m. EET","Ja","Vrouw","21","Mobiele telefoon","0-2 Minuten","6-9 minuten",10:07:00,10:08:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Zoekmachine",4,"60"
"14","2018/04/20 1:52:15 p.m. EET","Ja","Vrouw","23","Vaste computer","0-2 Minuten","3-5 minuten",13:51:00,13:51:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",7.99,"Zoekmachine",4,"0"
"15","2018/04/21 11:31:00 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","3-5 Minuten","3-5 minuten",23:28:00,23:29:00,"https://m.ikea.com/nl/nl/catalog/functional/10372/10759/",7.99,"Zoekmachine",4,"60"
"16","2018/04/21 11:31:19 p.m. EET","Ja","Man","20","Mobiele telefoon","0-2 Minuten","0-2 minuten",23:29:00,23:30:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"17","2018/04/23 8:25:12 p.m. EET","Ja","Man","22","Mobiele telefoon","0-2 Minuten","3-5 minuten",20:20:00,20:23:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",3,"180"
"18","2018/04/26 12:42:23 p.m. EET","Ja","Man","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",12:41:00,12:41:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Zoekmachine",4,"0"
"19","2018/04/26 12:43:03 p.m. EET","Ja","Man","20","Mobiele telefoon","3-5 Minuten","3-5 minuten",12:41:00,12:41:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Zoekmachine",4,"0"
"20","2018/04/26 12:43:51 p.m. EET","Ja","Man","20","Mobiele telefoon","0-2 Minuten","3-5 minuten",12:41:00,12:41:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Zoekmachine",4,"0"
"21","2018/04/26 12:51:06 p.m. EET","Ja","Man","18","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",12:50:00,12:50:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Zoekmachine",4,"0"
"22","2018/04/26 12:52:46 p.m. EET","Ja","Man","17","Mobiele telefoon","0-2 Minuten","0-2 minuten",12:51:00,12:51:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Zoekmachine",4,"0"
"23","2018/04/26 12:52:49 p.m. EET","Ja","Man","Jonger dan 17","Mobiele telefoon","3-5 Minuten","6-9 minuten",00:49:00,00:49:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Zoekmachine",4,"0"
"24","2018/04/26 12:56:48 p.m. EET","Ja","Man","19","Mobiele telefoon","3-5 Minuten","0-2 minuten",12:54:00,12:59:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",2,"300"
"25","2018/04/26 12:59:22 p.m. EET","Ja","Man","20","Mobiele telefoon","0-2 Minuten","0-2 minuten",12:57:00,12:57:00,"https://m.ikea.com/us/en/catalog/products/art/90357868/",9.99,"Zoekmachine",4,"0"
"26","2018/04/26 12:59:34 p.m. EET","Ja","Man","18","Mobiele telefoon","0-2 Minuten","3-5 minuten",12:58:00,12:59:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Zoekmachine",4,"60"
"27","2018/04/26 1:00:07 p.m. EET","Ja","Man","Jonger dan 17","Mobiele telefoon","0-2 Minuten","3-5 minuten",12:58:00,12:58:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"0"
"28","2018/04/26 1:41:50 p.m. EET","Ja","Man","22","Mobiele telefoon","0-2 Minuten","6-9 minuten",13:39:00,13:41:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Zoekmachine",2,"120"
"29","2018/04/26 3:40:37 p.m. EET","Ja","Vrouw","20","Mobiele telefoon","0-2 Minuten","6-9 minuten",15:38:00,15:39:00,"Www.ikea.com/nl/nl/catalog/products/90357868/?query=nuffra+klok",7.99,"Website van het merk",4,"60"
"30","2018/04/26 3:43:19 p.m. EET","Ja","Man","20","Laptop","0-2 Minuten","3-5 minuten",15:42:00,15:42:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",7.99,"Zoekmachine",4,"0"
"31","2018/04/26 3:43:54 p.m. EET","Ja","Man","18","Laptop","0-2 Minuten","3-5 minuten",15:43:00,15:43:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",8,"Zoekmachine",4,"0"
"32","2018/04/26 3:44:44 p.m. EET","Ja","Vrouw","20","Laptop","3-5 Minuten","Langer dan 10 minuten",12:30:00,12:32:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",8,"Zoekmachine",4,"120"
"33","2018/04/26 3:45:27 p.m. EET","Ja","Man","18","Mobiele telefoon","0-2 Minuten","3-5 minuten",15:44:00,15:44:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"0"
"34","2018/04/26 3:45:28 p.m. EET","Ja","Man","23","Mobiele telefoon","3-5 Minuten","3-5 minuten",10:35:00,10:37:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",8,"Zoekmachine",3,"120"
"35","2018/04/26 3:46:41 p.m. EET","Ja","Vrouw","Jonger dan 17","Mobiele telefoon","6-9 Minuten","Langer dan 10 minuten",09:50:00,09:56:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",8,"Zoekmachine",3,"360"
"36","2018/04/26 3:47:26 p.m. EET","Ja","Vrouw","18","Laptop","0-2 Minuten","6-9 minuten",13:03:00,13:05:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",8,"Website van het merk",4,"120"
"37","2018/04/26 3:49:24 p.m. EET","Ja","Man","21","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",15:49:00,15:49:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",8,"Zoekmachine",4,"0"
"38","2018/04/26 3:58:03 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","0-2 minuten",15:57:00,15:57:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",8,"Zoekmachine",4,"0"
"39","2018/04/26 3:58:39 p.m. EET","Ja","Man","17","Mobiele telefoon","0-2 Minuten","3-5 minuten",15:58:00,15:59:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",8,"Zoekmachine",3,"60"
"40","2018/04/26 4:37:52 p.m. EET","Ja","Vrouw","18","Mobiele telefoon","0-2 Minuten","0-2 minuten",16:36:00,16:37:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Website van het merk",4,"60"
"41","2018/04/26 5:01:44 p.m. EET","Ja","Man","20","Mobiele telefoon","0-2 Minuten","3-5 minuten",17:00:00,17:00:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"0"
"42","2018/04/26 5:30:47 p.m. EET","Ja","Vrouw","21","Mobiele telefoon","0-2 Minuten","6-9 minuten",17:28:00,17:29:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"43","2018/04/26 5:40:43 p.m. EET","Ja","Vrouw","20","Mobiele telefoon","0-2 Minuten","3-5 minuten",17:37:00,17:49:00,"https://m.ikea.com/nl/nl/search/?query=Klok+nuffra&_=1524757193160",7.99,"Zoekmachine",4,"720"
"44","2018/04/26 5:44:42 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","0-2 minuten",17:43:00,17:43:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Zoekmachine",4,"0"
"45","2018/04/26 6:01:24 p.m. EET","Ja","Vrouw","20","Mobiele telefoon","3-5 Minuten","3-5 minuten",17:59:00,18:00:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"46","2018/04/26 6:16:41 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",18:14:00,18:16:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"120"
"47","2018/04/26 7:53:31 p.m. EET","Ja","Man","20","Laptop","0-2 Minuten","0-2 minuten",19:52:00,19:53:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",8,"Zoekmachine",4,"60"
"48","2018/04/26 7:59:07 p.m. EET","Ja","Vrouw","18","Laptop","3-5 Minuten","3-5 minuten",19:57:00,19:59:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/?query=NUFFRA",7.99,"Website van het merk",4,"120"
"49","2018/04/27 12:08:26 a.m. EET","Ja","Vrouw","19","Mobiele telefoon","3-5 Minuten","3-5 minuten",00:06:00,00:07:00,"https://www.google.nl/search?q=nuffra+ikea&oq=nuffra+ikea&aqs=chrome..69i57.5002j0j4&client=ms-android-samsung&sourceid=chrome-mobile&ie=UTF-8",7.99,"Zoekmachine",4,"60"
"50","2018/04/27 1:40:41 a.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","0-2 minuten",01:39:00,01:39:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Zoekmachine",4,"0"
"51","2018/04/27 7:46:34 a.m. EET","Ja","Vrouw","17","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",07:43:00,07:43:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"In google met de woorden: Ikea klok",4,"0"
"52","2018/04/27 10:41:32 a.m. EET","Ja","Man","23","Laptop","0-2 Minuten","Langer dan 10 minuten",10:40:00,10:41:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",7.99,"Zoekmachine",4,"60"
"53","2018/04/28 9:09:07 a.m. EET","Ja","Vrouw","17","Mobiele telefoon","0-2 Minuten","0-2 minuten",09:08:00,09:08:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Zoekmachine",4,"0"
"54","2018/04/28 11:05:38 a.m. EET","Ja","Man","18","Mobiele telefoon","0-2 Minuten","3-5 minuten",11:02:00,11:03:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"55","2018/05/04 2:57:14 p.m. EET","Ja","Vrouw","20","Mobiele telefoon","0-2 Minuten","0-2 minuten",14:56:00,14:56:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"0"
"56","2018/05/04 3:16:42 p.m. EET","Ja","Man","26","Mobiele telefoon","0-2 Minuten","3-5 minuten",15:15:00,15:15:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"0"
"57","2018/05/04 3:24:50 p.m. EET","Ja","Vrouw","18","Mobiele telefoon","0-2 Minuten","3-5 minuten",15:23:00,15:23:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"0"
"58","2018/05/04 6:47:21 p.m. EET","Ja","Vrouw","23","Mobiele telefoon","0-2 Minuten","3-5 minuten",18:46:00,18:46:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"0"
"59","2018/05/04 7:37:26 p.m. EET","Ja","Vrouw","19","Laptop","0-2 Minuten","0-2 minuten",19:36:00,19:36:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",7.99,"Zoekmachine",4,"0"
"60","2018/05/05 9:53:36 a.m. EET","Ja","Vrouw","18","Mobiele telefoon","3-5 Minuten","3-5 minuten",08:51:00,08:53:00,"https://m.ikea.com/nl/nl/search/?query=Nuffra&_=1525506740455",7.99,"Ikea site",4,"120"
"61","2018/05/05 9:56:52 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","3-5 Minuten","6-9 minuten",21:55:00,21:56:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"62","2018/05/07 4:11:54 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",16:10:00,16:11:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"63","2018/05/07 5:02:37 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","3-5 Minuten","0-2 minuten",17:01:00,17:02:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"64","2018/05/07 6:27:58 p.m. EET","Ja","Vrouw","20","Mobiele telefoon","0-2 Minuten","0-2 minuten",18:26:00,18:27:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"65","2018/05/07 6:34:33 p.m. EET","Ja","Man","22","Mobiele telefoon","0-2 Minuten","3-5 minuten",18:30:00,18:33:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",3,"180"
"66","2018/05/08 7:42:33 a.m. EET","Ja","Vrouw","20","Mobiele telefoon","0-2 Minuten","3-5 minuten",07:41:00,07:42:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"67","2018/05/08 8:40:46 a.m. EET","Ja","Vrouw","18","Mobiele telefoon","0-2 Minuten","3-5 minuten",08:39:00,08:40:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"68","2018/05/08 10:15:59 a.m. EET","Ja","Man","20","Mobiele telefoon","0-2 Minuten","3-5 minuten",10:14:00,10:15:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"69","2018/05/08 10:18:07 a.m. EET","Ja","Man","19","Mobiele telefoon","0-2 Minuten","0-2 minuten",10:16:00,10:18:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Website van het merk",4,"120"
"70","2018/05/08 10:18:22 a.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",10:17:00,10:18:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"71","2018/05/08 10:25:28 a.m. EET","Ja","Vrouw","18","Mobiele telefoon","3-5 Minuten","3-5 minuten",10:22:00,10:25:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Website van het merk",3,"180"
"72","2018/05/08 10:55:41 a.m. EET","Ja","Man","20","Mobiele telefoon","0-2 Minuten","3-5 minuten",10:54:00,10:55:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",3,"60"
"73","2018/05/08 11:19:21 a.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",11:18:00,11:19:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"74","2018/05/08 11:33:02 a.m. EET","Ja","Man","21","Mobiele telefoon","0-2 Minuten","0-2 minuten",11:31:00,11:33:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"120"
"75","2018/05/08 11:48:31 a.m. EET","Ja","Man","21","Mobiele telefoon","0-2 Minuten","0-2 minuten",11:47:00,11:48:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Zoekmachine",4,"60"
"76","2018/05/08 11:49:18 a.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",11:48:00,11:49:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",3,"60"
"77","2018/05/08 12:24:31 p.m. EET","Ja","Man","23","Mobiele telefoon","3-5 Minuten","Langer dan 10 minuten",12:23:00,12:24:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"78","2018/05/08 1:43:28 p.m. EET","Ja","Vrouw","21","Mobiele telefoon","0-2 Minuten","3-5 minuten",13:42:00,13:43:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"79","2018/05/08 1:45:04 p.m. EET","Ja","Vrouw","20","Mobiele telefoon","0-2 Minuten","3-5 minuten",13:44:00,13:45:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"80","2018/05/08 1:47:14 p.m. EET","Ja","Man","20","Mobiele telefoon","0-2 Minuten","0-2 minuten",13:45:00,13:47:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Website van het merk",4,"120"
